ID,Work Item Type,Title,Assigned To,State,Story Points,Original Estimate,Priority,Iteration Path,Area Path,Description,Acceptance Criteria
,User Story,US-3.04: Motor de Cálculo de Disponibilidad Dinámica de Horarios,Alex Fernando Alfaro Diaz,New,8,,1,Shunshine Studio\Sprint 2,Shunshine Studio,"Calcular en tiempo real slots libres considerando turnos, citas existentes y duración del servicio.",GET /api/disponibilidad cruza jornada laboral y reservas. Bloques ocupados deshabilitados en UI.
,Task,TSK-3.04.1: Desarrollar AvailabilityService con algoritmo de slots en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,8,1,Shunshine Studio\Sprint 2,Shunshine Studio,Cruzar horarios_estilista con reservas existentes y segmentar intervalos.,
,Task,TSK-3.04.2: Implementar endpoint GET /api/disponibilidad en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,4,1,Shunshine Studio\Sprint 2,Shunshine Studio,Exponer endpoint REST con validación de parámetros de fecha y servicio.,
,Task,TSK-3.04.3: Maquetar SeleccionHorarioPage (XAML) según Wireframe Pág. 10,Camila Antonia Calderon Cortez,To Do,,5,1,Shunshine Studio\Sprint 2,Shunshine Studio,Diseñar calendario mensual interactivo y grilla de horarios en XAML.,
,Task,TSK-3.04.4: Conectar DisponibilidadViewModel con la grilla de slots,Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 2,Shunshine Studio,Pintar bloques libres en verde/rosa y deshabilitar ocupados.,
,Task,TSK-3.04.5: Pruebas integradas de casos límite de disponibilidad,Alex Fernando Alfaro Diaz,To Do,,3,1,Shunshine Studio\Sprint 2,Shunshine Studio,"Probar solapamientos, límites de jornada y múltiples reservas consecutivas.",
,Epic,Épica 4: Motor Transaccional de Reservas y Gestión Personal,Alex Fernando Alfaro Diaz,New,24,,1,Shunshine Studio\Sprint 3,Shunshine Studio,"Transaccionar citas con control estricto de concurrencia (ACID), confirmación y gestión del historial de citas.",
,User Story,US-4.01: Resumen y Creación de Reserva con Control de Concurrencia,Alex Fernando Alfaro Diaz,New,8,,1,Shunshine Studio\Sprint 3,Shunshine Studio,Confirmar reserva con transacción ACID garantizando prevención de doble reserva (Overbooking).,POST /api/reservas transaccional. Asignación de estación de trabajo. Retorno 409 Conflict si el slot se ocupó.
,Task,TSK-4.01.1: Implementar CreateAppointmentUseCase con transacción ACID en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,6,1,Shunshine Studio\Sprint 3,Shunshine Studio,Bloqueo pesimista/serializable en PostgreSQL para prevenir concurrencia.,
,Task,TSK-4.01.2: Implementar asignación de estación de trabajo libre en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,3,1,Shunshine Studio\Sprint 3,Shunshine Studio,Asignar cabina/estación disponible según categoría del servicio.,
,Task,TSK-4.01.3: Maquetar ResumenReservaPage (XAML) según Wireframe Pág. 11,Camila Antonia Calderon Cortez,To Do,,4,1,Shunshine Studio\Sprint 3,Shunshine Studio,"Diseñar desglose de servicio, estilista, fecha, hora, subtotal e impuestos en XAML.",
,Task,TSK-4.01.4: Conectar botón Confirmar con POST /api/reservas en .NET MAUI,Camila Antonia Calderon Cortez,To Do,,4,1,Shunshine Studio\Sprint 3,Shunshine Studio,Manejar respuesta 201 Created y capturar 409 Conflict mostrando alerta amigable.,
,User Story,US-4.02: Comprobante y Confirmación de Cita con Código Único,Camila Antonia Calderon Cortez,New,3,,1,Shunshine Studio\Sprint 3,Shunshine Studio,Visualizar comprobante de confirmación con código alfanumérico único de reserva.,Generación de código único (#SHU-XXXX). Pantalla visual de comprobante y navegación.
,Task,TSK-4.02.1: Implementar generador de código de reserva único en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,2,1,Shunshine Studio\Sprint 3,Shunshine Studio,Generar código no repetible con prefijo de marca #SHU-XXXX.,
,Task,TSK-4.02.2: Maquetar ConfirmacionReservaPage (XAML) según Wireframe Pág. 12,Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 3,Shunshine Studio,"Diseñar ticket de comprobante con código, dirección y avisos en XAML.",
,Task,TSK-4.02.3: Configurar navegación Shell hacia Mis Citas o Catálogo,Camila Antonia Calderon Cortez,To Do,,2,2,Shunshine Studio\Sprint 3,Shunshine Studio,Vincular botones de acción hacia pestañas correspondientes.,
,User Story,US-4.03: Historial de Citas del Cliente (Próximas y Pasadas),Camila Antonia Calderon Cortez,New,5,,1,Shunshine Studio\Sprint 3,Shunshine Studio,Consultar citas agendadas futuras y citas completadas previamente.,GET /api/reservas/cliente/{id} validado por claims de usuario. Pestañas Próximas y Pasadas en UI.
,Task,TSK-4.03.1: Implementar GET /api/reservas/cliente/{id} con filtro de seguridad,Alex Fernando Alfaro Diaz,To Do,,4,1,Shunshine Studio\Sprint 3,Shunshine Studio,Validar que el id coincida con el claim internal_user_id (RNF04).,
,Task,TSK-4.03.2: Maquetar HistorialCitasPage (XAML) según Wireframe Pág. 13,Camila Antonia Calderon Cortez,To Do,,4,1,Shunshine Studio\Sprint 3,Shunshine Studio,Diseñar pestañas Citas Futuras y Citas Pasadas en XAML.,
,Task,TSK-4.03.3: Conectar HistorialViewModel y renderizado de tarjetas con estado,Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 3,Shunshine Studio,"Renderizar badges cromáticos (Verde: Confirmada, Amarillo: Pendiente).",
,User Story,US-4.04: Cancelación y Solicitud de Reprogramación de Citas,Camila Antonia Calderon Cortez,New,5,,2,Shunshine Studio\Sprint 3,Shunshine Studio,Cancelar cita pendiente con anticipación o iniciar flujo de cambio de horario.,PUT /api/reservas/{id}/cancelar valida límite de 2h. Liberación inmediata de slot.
,Task,TSK-4.04.1: Implementar PUT /api/reservas/{id}/cancelar en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,3,2,Shunshine Studio\Sprint 3,Shunshine Studio,Validar límite de tiempo previo de cancelación y cambiar estado.,
,Task,TSK-4.04.2: Implementar modal de confirmación de cancelación en .NET MAUI,Camila Antonia Calderon Cortez,To Do,,3,2,Shunshine Studio\Sprint 3,Shunshine Studio,Diseñar diálogo con advertencia de políticas del salón.,
,Task,TSK-4.04.3: Conectar flujo de reprogramación hacia selector de horario,Camila Antonia Calderon Cortez,To Do,,3,2,Shunshine Studio\Sprint 3,Shunshine Studio,Reutilizar SeleccionHorarioPage pasando la reserva a modificar.,
,Task,TSK-4.04.4: Pruebas de QA de cancelación y liberación de disponibilidad,Camila Antonia Calderon Cortez,To Do,,2,2,Shunshine Studio\Sprint 3,Shunshine Studio,Verificar que el slot cancelado vuelve a aparecer libre para otros usuarios.,
,Epic,Épica 5: Panel de Control Administrativo y Gestión del Salón,Alex Fernando Alfaro Diaz,New,29,,1,Shunshine Studio\Sprint 4,Shunshine Studio,"Proveer herramientas exclusivas para recepción y gerencia (dashboard de KPIs, agenda timeline, walk-ins y mantenimiento).",
,User Story,US-5.01: Dashboard Operativo Diario y Métricas Clave,Camila Antonia Calderon Cortez,New,5,,1,Shunshine Studio\Sprint 4,Shunshine Studio,"Visualizar panel con contadores del día, ocupación de estaciones e ingresos proyectados.",GET /api/admin/dashboard protegido por rol Administrador. Métricas de ingresos y estaciones.
,Task,TSK-5.01.1: Implementar consultas de métricas en AdminDashboardController en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,5,1,Shunshine Studio\Sprint 4,Shunshine Studio,"Calcular citas del día, % capacidad, ingresos proyectados y ocupación.",
,Task,"TSK-5.01.2: Proteger endpoints administrativos con @PreAuthorize(""hasRole('ADMIN')"")",Alex Fernando Alfaro Diaz,To Do,,2,1,Shunshine Studio\Sprint 4,Shunshine Studio,Verificar rechazo 403 Forbidden para usuarios con rol Cliente.,
,Task,TSK-5.01.3: Maquetar DashboardAdminPage (XAML) según Wireframe Pág. 15,Camila Antonia Calderon Cortez,To Do,,5,1,Shunshine Studio\Sprint 4,Shunshine Studio,"Diseñar tarjetas de KPIs, gráficos de ocupación y monitores de cabinas en XAML.",
,Task,TSK-5.01.4: Conectar AdminDashboardViewModel con la API,Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 4,Shunshine Studio,Gestionar carga y refresco automático de métricas diarias.,
,User Story,US-5.02: Agenda Diaria Interactiva en Formato Timeline Multi-Estilista,Camila Antonia Calderon Cortez,New,8,,1,Shunshine Studio\Sprint 4,Shunshine Studio,Visualizar agenda tipo Timeline agrupada por estilista para gestionar la jornada.,GET /api/admin/agenda devuelve citas estructuradas por estilista. Bloques libres interactivos.
,Task,TSK-5.02.1: Implementar endpoint GET /api/admin/agenda en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,6,1,Shunshine Studio\Sprint 4,Shunshine Studio,Estructurar respuesta agrupando cronograma de citas y descansos por empleado.,
,Task,TSK-5.02.2: Maquetar vista Timeline multi-columna (XAML) según Wireframe Pág. 16,Camila Antonia Calderon Cortez,To Do,,6,1,Shunshine Studio\Sprint 4,Shunshine Studio,Diseñar grilla interactiva con bloques de citas proporcionales al tiempo en XAML.,
,Task,TSK-5.02.3: Conectar selector de fecha y refresco dinámico,Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 4,Shunshine Studio,Permitir navegar entre fechas para consultar agendas pasadas y futuras.,
,User Story,US-5.03: Registro Rápido de Clientes Presenciales (Walk-in Clients),Camila Antonia Calderon Cortez,New,5,,1,Shunshine Studio\Sprint 4,Shunshine Studio,Registrar citas espontáneas para clientes sin cuenta ocupando espacios libres de la agenda.,POST /api/reservas/walk-in registra es_walk_in = true. Refresco automático de Timeline.
,Task,TSK-5.03.1: Implementar endpoint POST /api/reservas/walk-in en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,4,1,Shunshine Studio\Sprint 4,Shunshine Studio,Permitir id_cliente nulo y guardar nombre_walk_in y telefono_walk_in.,
,Task,TSK-5.03.2: Maquetar formulario modal rápido de Walk-in en .NET MAUI,Camila Antonia Calderon Cortez,To Do,,4,1,Shunshine Studio\Sprint 4,Shunshine Studio,Invocar modal al presionar bloque libre '+ Walk-in Client' en el Timeline.,
,Task,TSK-5.03.3: Refresco inmediato de la agenda tras registro,Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 4,Shunshine Studio,Ocupar visualmente el slot sin recargar toda la pantalla.,
,User Story,US-5.04: Gestión del Ciclo de Vida y Auditoría de Estados de Citas,Camila Antonia Calderon Cortez,New,4,,1,Shunshine Studio\Sprint 4,Shunshine Studio,"Actualizar estados de citas (Pendiente, Completada, Cancelada, No Asistió) con registro de auditoría.",PUT /api/admin/reservas/{id}/estado actualiza y guarda en historial_estado_reserva.
,Task,TSK-5.04.1: Implementar actualización y auditoría en historial_estado_reserva en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,3,1,Shunshine Studio\Sprint 4,Shunshine Studio,"Guardar id_usuario_cambio, estado_anterior y estado_nuevo en transacción.",
,Task,TSK-5.04.2: Maquetar EstadoReservaPage (XAML) según Wireframe Pág. 17,Camila Antonia Calderon Cortez,To Do,,3,1,Shunshine Studio\Sprint 4,Shunshine Studio,Diseñar selector de estado y campo de texto para observaciones de auditoría en XAML.,
,Task,TSK-5.04.3: Pruebas de QA de trazabilidad de cambios de estado,Camila Antonia Calderon Cortez,To Do,,2,1,Shunshine Studio\Sprint 4,Shunshine Studio,Verificar registro de auditoría en la base de datos tras cada cambio.,
,User Story,US-5.05: Mantenimiento de Catálogo de Servicios y Precios,Camila Antonia Calderon Cortez,New,4,,2,Shunshine Studio\Sprint 4,Shunshine Studio,"Modificar precios, duración y activar/desactivar servicios del salón.",POST/PUT /api/servicios/{id} operativo. Reflejo inmediato en la app pública.
,Task,TSK-5.05.1: Implementar endpoints de mantenimiento de catálogo en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,3,2,Shunshine Studio\Sprint 4,Shunshine Studio,"Crear endpoints de creación, edición y toggle de activación de servicios.",
,Task,TSK-5.05.2: Maquetar AdministracionCatalogoPage (XAML) según Wireframe Pág. 18,Camila Antonia Calderon Cortez,To Do,,3,2,Shunshine Studio\Sprint 4,Shunshine Studio,Diseñar switches on/off y modal de edición de tarifas en XAML.,
,Task,TSK-5.05.3: Pruebas de QA de reactividad en catálogo público,Camila Antonia Calderon Cortez,To Do,,2,2,Shunshine Studio\Sprint 4,Shunshine Studio,Comprobar que un servicio desactivado desaparece del catálogo del cliente.,
,User Story,US-5.06: Control de Disponibilidad y Turnos de Estilistas,Camila Antonia Calderon Cortez,New,3,,2,Shunshine Studio\Sprint 4,Shunshine Studio,Marcar estilistas como inactivos temporales por imprevistos para bloquear su agenda.,PUT /api/estilistas/{id}/estado actualiza disponibilidad. Exclusión automática del motor de cálculo.
,Task,TSK-5.06.1: Implementar endpoint PUT /api/estilistas/{id}/estado en Java Spring Boot,Alex Fernando Alfaro Diaz,To Do,,2,2,Shunshine Studio\Sprint 4,Shunshine Studio,Actualizar campo estado_disponibilidad en estilistas.,
,Task,TSK-5.06.2: Maquetar EstadoEstilistaPage (XAML) según Wireframe Pág. 19,Camila Antonia Calderon Cortez,To Do,,3,2,Shunshine Studio\Sprint 4,Shunshine Studio,Diseñar lista de estilistas con toggles de disponibilidad en XAML.,
,Task,TSK-5.06.3: Verificar bloqueo automático en motor de disponibilidad,Alex Fernando Alfaro Diaz,To Do,,2,2,Shunshine Studio\Sprint 4,Shunshine Studio,Comprobar que el estilista inactivo no genera slots libres en fechas futuras.,
,Epic,"Épica 6: Pruebas Integrales, Rendimiento y Despliegue",Alex Fernando Alfaro Diaz,New,16,,1,Shunshine Studio\Sprint 5,Shunshine Studio,"Asegurar la calidad técnica (QA), pruebas de carga concurrentes y despliegue para la evaluación académica.",
,User Story,US-6.01: Pruebas Unitarias y de Integración Automatizadas,Camila Antonia Calderon Cortez,New,5,,1,Shunshine Studio\Sprint 5,Shunshine Studio,Desarrollar pruebas automatizadas con JUnit 5 en backend y xUnit / Moq en frontend.,Pruebas de algoritmo de disponibilidad en Java Spring Boot. Pruebas de estados de ViewModels en .NET MAUI.
,Task,TSK-6.01.1: Implementar pruebas unitarias de servicios con JUnit 5 / Mockito,Alex Fernando Alfaro Diaz,To Do,,5,1,Shunshine Studio\Sprint 5,Shunshine Studio,"Probar AvailabilityService, validaciones de entrada y manejo de errores (t1_crear a t6_eliminar).",
